year,station,sample,ag,cd,cr,cu,pb,hg,ni,zn,al,fe,solid,agflag,ag_rev
1992,Broad Cove,1P,0.02,NA,1.2,NA,0.3,0.1,1.5,92,73,220,15,FALSE,0.02
1992,Broad Cove,2P,0.02,NA,1,NA,0.5,0.1,1.7,91,100,260,15,FALSE,0.02
1992,Broad Cove,3P,0.02,NA,0.9,NA,0.5,0.2,1.8,84,67,230,15,FALSE,0.02
1993,Royal River,1N,0.044,2.31,1.76,8.46,1.87,1.32,1.87,108.8,253,484,9.1,FALSE,0.044
1993,Royal River,2N,0.042,2.19,1.77,8.44,2.29,0.94,1.67,114.6,323,604,9.6,FALSE,0.042
1993,Royal River,3N,0.042,1.98,1.77,8.75,2.29,1.67,1.67,114.6,292,583,9.6,FALSE,0.042
1993,Royal River,4N,0.022,1.61,1.29,7.96,1.83,0.97,1.4,76.3,172,430,9.3,FALSE,0.022
1994,Presumpscot River,1N,ND.1,1.1,1.4,4.2,3.4,0.13,1,60,190,350,11.4,TRUE,0.1
1994,Presumpscot River,2N,ND.1,1,1.5,5.5,3.4,0.12,0.9,79,230,390,11,TRUE,0.1
1994,Presumpscot River,3N,ND.1,1.2,1.8,6.4,4.8,0.75,1.1,89,260,440,9.2,TRUE,0.1
1994,Presumpscot River,4N,ND.1,1.2,1.8,5.3,4,1.2,1.3,80,280,420,8.4,TRUE,0.1
1994,Portland Harbor,1N,ND.1,1.6,1.8,9.1,9.7,1.4,1.1,200,290,520,9.4,TRUE,0.1
1994,Portland Harbor,2N,ND.1,1.6,1.4,8,8.7,1.3,1.2,140,470,720,8.7,TRUE,0.1
1994,Portland Harbor,3N,ND.1,1.6,2.1,9.5,8.5,1.6,1.3,160,360,620,8.8,TRUE,0.1
1994,Portland Harbor,4N,ND.1,0.9,1.3,5.7,6.3,0.94,0.9,82,240,370,13.7,TRUE,0.1
1995,Broad Cove,1N/P,0.08,1.4,1.6,6.6,1.8,0.38,1.2,90,140,230,13.89,FALSE,0.08
1995,Broad Cove,2N/P,0.05,1.3,1.5,7.1,1.8,0.39,1.4,100,180,280,13.56,FALSE,0.05
1995,Broad Cove,3N/P,0.1,1.4,0.9,6.9,1.7,0.36,1.3,90,140,240,14,FALSE,0.1
1995,Broad Cove,4N/P,0.07,1.3,1.1,6.7,1.3,0.36,1.3,110,180,270,12.45,FALSE,0.07
1998,Broad Cove,1N,ND 0.1,1.7,1.4,6.8,1.5,0.35,1.3,83,200,340,10.9,TRUE,0.1
1998,Broad Cove,2N,ND 0.1,1.7,1.4,6.5,1.8,0.35,1.2,77,200,340,10.7,TRUE,0.1
1998,Broad Cove,3N,ND 0.1,1.7,1.2,6.9,1.7,0.4,1.1,93,140,260,11.5,TRUE,0.1
1999,Royal River,1N,ND 0.1,1.4,1.4,7.6,1.3,0.6,1.5,78,220,400,10.7,TRUE,0.1
1999,Royal River,2N,ND 0.1,1.2,1,9.2,1.4,0.5,0.8,83,170,310,12.4,TRUE,0.1
1999,Royal River,3N,ND 0.1,1.4,1.4,7.6,1.3,0.56,1,96,280,460,11.4,TRUE,0.1
1999,Royal River,4N,ND 0.1,1.2,1.1,6.5,1.2,0.5,0.9,75,240,370,11.6,TRUE,0.1
2000,MEPH,1N,0.1,1.7,2.3,12,12,0.6,2.8,1020,330,700,8.5,FALSE,0.1
2000,MEPH,2N,ND0.1,1.9,2.2,11,11,0.5,2.3,140,310,640,10.7,TRUE,0.1
2000,MEPH,3N,0.1,1.7,2.3,14,11,0.5,2.2,150,420,780,10.5,FALSE,0.1
2000,MEPH,4N,0.1,1.8,2.5,12,12,0.8,2.5,120,420,830,9.8,FALSE,0.1
2000,MEPR,1N,0.2,2,3.2,14,8.4,0.4,2.4,83,620,1000,11.1,FALSE,0.2
2000,MEPR,2N,0.2,2.6,3.3,14,8.3,0.9,3.2,130,510,950,8.2,FALSE,0.2
2000,MEPR,3N,0.1,2.1,3.2,14,8.2,0.6,3.5,140,600,1100,8.5,FALSE,0.1
2000,MEPR,4N,ND0.1,1.5,2.4,10,6.3,1,3.1,100,400,840,8.2,TRUE,0.1
