Original_Code,Site,Year,Sample_Type,Naphthalene,1-MethylNaphthalene,2-MethylNaphthalene,Biphenyl,"2,6-DiMethylNaphthalene",Acenaphthylene,Acenaphthene,"2,3,5-TriMethylNaphthalene",Fluorene,Phenanthrene,Anthracene,1-MethylPhenanthrene,Fluoranthene,Pyrene,Benzo(a)Anthracene,Chrysene,Benzo(b+k)fluoranthene,Benzo(b)Fluoranthene,Benzo(k)Fluoranthene,Benzo(e)Pyrene,Benzo(a)Pyrene,Perylene,"Indeno(1,2,3-cd)Pyrene","Dibenzo(a,h)Anthracene","Benzo(g,h,i)Perylene",Total
MEPH 1N,MEPH,2000,N,7,<3,<3,<3,<4,4,<4,<3 ,<4,18,<2,10,200,173,44,107,,61,60,86,23,14,20,<4 ,25,853
MEPH 2N,MEPH,2000,N,4,<3,<3,<3,<4,4,<4,<3 ,<4,21,<2,8,193,159,37,91,,52,46,76,20,12,17,<4 ,22,762
MEPH 3N,MEPH,2000,N,10,3,6,<3,<4,4,<4,<3 ,<4,19,<2,9,178,154,38,87,,55,49,73,18,12,17,<4 ,21,753
MEPH 4N,MEPH,2000,N,14,3,6,<3,<4,4,<4,4,<4,19,<2,10,189,158,36,98,,52,49,78,17,12,16,<4 ,22,784
MEPR 1N,MEPR,2000,N,24,3,6,<3,<4,<4,<4,<3 ,<4,11,<2,<4,59,44,9,21,,10,11,16,5,8,7,<4 ,6,238
MEPR 2N,MEPR,2000,N,12,<3,4,<3,<4,<4,<4,<3 ,<4,12,<2,4,58,45,10,23,,11,11,16,6,9,5,<4 ,6,232
MEPR 2N_Replicate,MEPR,2000,N,11,<3,4,<3,<4,<4,<4,<3 ,<4,11,<2,<4,57,44,9,22,,11,12,16,6,9,5,<4 ,6,223
MEPR 3N,MEPR,2000,N,29,3,5,<3,<4,<4,<4,<3 ,<4,12,<2,<4,58,42,8,19,,9,9,14,5,7,6,<4 ,6,234
MEPR 4N,MEPR,2000,N,17,<3,4,<3,<4,<4,<4,<3 ,<4,12,<2,<4,61,43,8,20,,9,10,15,5,8,5,<4 ,6,224
MERY1N,MERY,1993,N,<30,<30,<30,<20,<20,<10,<10,<20,<10,<10,<10,<10,38,38,<10,14,20,,,14,<10,<10,<10,<10,<10,124
MERY2N,MERY,1993,N,<30,<30,<30,<20,<20,<10,<10,<20,<10,<10,<10,<10,<10,<10,<10,<10,<10,,,<10,<10,<10,<10,<10,<10,ND
MERY3N,MERY,1993,N,<30,<30,<30,<20,<20,<10,<10,<20,<10,<10,<10,<10,15,22,<10,10,14,,,10,<10,<10,<10,<10,<10,71
MEPR1,MEPR,1994,,<30,<30,<30,<20,<20,<10,<10,<20,10,33,<10,<10,62,46,<10,27,32,,,17,<10,<10,<10,<10,<10,227
MEPR2,MEPR,1994,,<30,<30,<30,<20,23,<10,<10,24,10,31,<10,<10,65,48,<10,31,32,,,20,10,<10,<10,<10,<10,294
MEPR3,MEPR,1994,,<30,<30,<30,<20,<20,11,<10,<20,<10,26,<10,14,57,42,<10,27,28,,,17,<10,<10,<10,<10,<10,222
MEPR4,MEPR,1994,,<30,<30,<30,<20,<20,<10,<10,<20,<10,22,<10.,<10.,48,36,<10,20,21,,,13,<10,<10,<10,<10,<10,160
MEPH1,MEPH,1994,,<30,<30,<30,<20,<20,11,10,20,10,51,19,33,345,279,89,167,203,,,129,32,14,25,<10,25,1462
MEPH2,MEPH,1994,,<30,<30,<30,<20,20,<10,12,26,12,43,14,31,228,177,47,95,120,,,75,22,<10,20,<10,18,960
