Original_Code,Site,Year,Sample_Type,PAH,Flag,Concentration
MEPH 1N,MEPH,2000,N,Naphthalene,FALSE,7
MEPH 1N,MEPH,2000,N,1-MethylNaphthalene,TRUE,3
MEPH 1N,MEPH,2000,N,2-MethylNaphthalene,TRUE,3
MEPH 1N,MEPH,2000,N,Biphenyl,TRUE,3
MEPH 1N,MEPH,2000,N,"2,6-DiMethylNaphthalene",TRUE,4
MEPH 1N,MEPH,2000,N,Acenaphthylene,FALSE,4
MEPH 1N,MEPH,2000,N,Acenaphthene,TRUE,4
MEPH 1N,MEPH,2000,N,"2,3,5-TriMethylNaphthalene",TRUE,3
MEPH 1N,MEPH,2000,N,Fluorene,TRUE,4
MEPH 1N,MEPH,2000,N,Phenanthrene,FALSE,18
MEPH 1N,MEPH,2000,N,Anthracene,TRUE,2
MEPH 1N,MEPH,2000,N,1-MethylPhenanthrene,FALSE,10
MEPH 1N,MEPH,2000,N,Fluoranthene,FALSE,200
MEPH 1N,MEPH,2000,N,Pyrene,FALSE,173
MEPH 1N,MEPH,2000,N,Benzo(a)Anthracene,FALSE,44
MEPH 1N,MEPH,2000,N,Chrysene,FALSE,107
MEPH 1N,MEPH,2000,N,Benzo(b+k)fluoranthene,NA,NA
MEPH 1N,MEPH,2000,N,Benzo(b)Fluoranthene,FALSE,61
MEPH 1N,MEPH,2000,N,Benzo(k)Fluoranthene,FALSE,60
MEPH 1N,MEPH,2000,N,Benzo(e)Pyrene,FALSE,86
MEPH 1N,MEPH,2000,N,Benzo(a)Pyrene,FALSE,23
MEPH 1N,MEPH,2000,N,Perylene,FALSE,14
MEPH 1N,MEPH,2000,N,"Indeno(1,2,3-cd)Pyrene",FALSE,20
MEPH 1N,MEPH,2000,N,"Dibenzo(a,h)Anthracene",TRUE,4
MEPH 1N,MEPH,2000,N,"Benzo(g,h,i)Perylene",FALSE,25
MEPH 1N,MEPH,2000,N,Total,FALSE,853
MEPH 2N,MEPH,2000,N,Naphthalene,FALSE,4
MEPH 2N,MEPH,2000,N,1-MethylNaphthalene,TRUE,3
MEPH 2N,MEPH,2000,N,2-MethylNaphthalene,TRUE,3
MEPH 2N,MEPH,2000,N,Biphenyl,TRUE,3
MEPH 2N,MEPH,2000,N,"2,6-DiMethylNaphthalene",TRUE,4
MEPH 2N,MEPH,2000,N,Acenaphthylene,FALSE,4
MEPH 2N,MEPH,2000,N,Acenaphthene,TRUE,4
MEPH 2N,MEPH,2000,N,"2,3,5-TriMethylNaphthalene",TRUE,3
MEPH 2N,MEPH,2000,N,Fluorene,TRUE,4
MEPH 2N,MEPH,2000,N,Phenanthrene,FALSE,21
MEPH 2N,MEPH,2000,N,Anthracene,TRUE,2
MEPH 2N,MEPH,2000,N,1-MethylPhenanthrene,FALSE,8
MEPH 2N,MEPH,2000,N,Fluoranthene,FALSE,193
MEPH 2N,MEPH,2000,N,Pyrene,FALSE,159
MEPH 2N,MEPH,2000,N,Benzo(a)Anthracene,FALSE,37
MEPH 2N,MEPH,2000,N,Chrysene,FALSE,91
MEPH 2N,MEPH,2000,N,Benzo(b+k)fluoranthene,NA,NA
MEPH 2N,MEPH,2000,N,Benzo(b)Fluoranthene,FALSE,52
MEPH 2N,MEPH,2000,N,Benzo(k)Fluoranthene,FALSE,46
MEPH 2N,MEPH,2000,N,Benzo(e)Pyrene,FALSE,76
MEPH 2N,MEPH,2000,N,Benzo(a)Pyrene,FALSE,20
MEPH 2N,MEPH,2000,N,Perylene,FALSE,12
MEPH 2N,MEPH,2000,N,"Indeno(1,2,3-cd)Pyrene",FALSE,17
MEPH 2N,MEPH,2000,N,"Dibenzo(a,h)Anthracene",TRUE,4
MEPH 2N,MEPH,2000,N,"Benzo(g,h,i)Perylene",FALSE,22
MEPH 2N,MEPH,2000,N,Total,FALSE,762
MEPH 3N,MEPH,2000,N,Naphthalene,FALSE,10
MEPH 3N,MEPH,2000,N,1-MethylNaphthalene,FALSE,3
MEPH 3N,MEPH,2000,N,2-MethylNaphthalene,FALSE,6
MEPH 3N,MEPH,2000,N,Biphenyl,TRUE,3
MEPH 3N,MEPH,2000,N,"2,6-DiMethylNaphthalene",TRUE,4
MEPH 3N,MEPH,2000,N,Acenaphthylene,FALSE,4
MEPH 3N,MEPH,2000,N,Acenaphthene,TRUE,4
MEPH 3N,MEPH,2000,N,"2,3,5-TriMethylNaphthalene",TRUE,3
MEPH 3N,MEPH,2000,N,Fluorene,TRUE,4
MEPH 3N,MEPH,2000,N,Phenanthrene,FALSE,19
MEPH 3N,MEPH,2000,N,Anthracene,TRUE,2
MEPH 3N,MEPH,2000,N,1-MethylPhenanthrene,FALSE,9
MEPH 3N,MEPH,2000,N,Fluoranthene,FALSE,178
MEPH 3N,MEPH,2000,N,Pyrene,FALSE,154
MEPH 3N,MEPH,2000,N,Benzo(a)Anthracene,FALSE,38
MEPH 3N,MEPH,2000,N,Chrysene,FALSE,87
MEPH 3N,MEPH,2000,N,Benzo(b+k)fluoranthene,NA,NA
MEPH 3N,MEPH,2000,N,Benzo(b)Fluoranthene,FALSE,55
MEPH 3N,MEPH,2000,N,Benzo(k)Fluoranthene,FALSE,49
MEPH 3N,MEPH,2000,N,Benzo(e)Pyrene,FALSE,73
MEPH 3N,MEPH,2000,N,Benzo(a)Pyrene,FALSE,18
MEPH 3N,MEPH,2000,N,Perylene,FALSE,12
MEPH 3N,MEPH,2000,N,"Indeno(1,2,3-cd)Pyrene",FALSE,17
MEPH 3N,MEPH,2000,N,"Dibenzo(a,h)Anthracene",TRUE,4
MEPH 3N,MEPH,2000,N,"Benzo(g,h,i)Perylene",FALSE,21
MEPH 3N,MEPH,2000,N,Total,FALSE,753
MEPH 4N,MEPH,2000,N,Naphthalene,FALSE,14
MEPH 4N,MEPH,2000,N,1-MethylNaphthalene,FALSE,3
MEPH 4N,MEPH,2000,N,2-MethylNaphthalene,FALSE,6
MEPH 4N,MEPH,2000,N,Biphenyl,TRUE,3
MEPH 4N,MEPH,2000,N,"2,6-DiMethylNaphthalene",TRUE,4
MEPH 4N,MEPH,2000,N,Acenaphthylene,FALSE,4
MEPH 4N,MEPH,2000,N,Acenaphthene,TRUE,4
MEPH 4N,MEPH,2000,N,"2,3,5-TriMethylNaphthalene",FALSE,4
MEPH 4N,MEPH,2000,N,Fluorene,TRUE,4
MEPH 4N,MEPH,2000,N,Phenanthrene,FALSE,19
MEPH 4N,MEPH,2000,N,Anthracene,TRUE,2
MEPH 4N,MEPH,2000,N,1-MethylPhenanthrene,FALSE,10
MEPH 4N,MEPH,2000,N,Fluoranthene,FALSE,189
MEPH 4N,MEPH,2000,N,Pyrene,FALSE,158
MEPH 4N,MEPH,2000,N,Benzo(a)Anthracene,FALSE,36
MEPH 4N,MEPH,2000,N,Chrysene,FALSE,98
MEPH 4N,MEPH,2000,N,Benzo(b+k)fluoranthene,NA,NA
MEPH 4N,MEPH,2000,N,Benzo(b)Fluoranthene,FALSE,52
MEPH 4N,MEPH,2000,N,Benzo(k)Fluoranthene,FALSE,49
MEPH 4N,MEPH,2000,N,Benzo(e)Pyrene,FALSE,78
MEPH 4N,MEPH,2000,N,Benzo(a)Pyrene,FALSE,17
MEPH 4N,MEPH,2000,N,Perylene,FALSE,12
MEPH 4N,MEPH,2000,N,"Indeno(1,2,3-cd)Pyrene",FALSE,16
MEPH 4N,MEPH,2000,N,"Dibenzo(a,h)Anthracene",TRUE,4
MEPH 4N,MEPH,2000,N,"Benzo(g,h,i)Perylene",FALSE,22
MEPH 4N,MEPH,2000,N,Total,FALSE,784
