Code,Site,Year,Type,Dups,PCB_8_5,PCB_18_15,PCB_28,PCB_29,PCB_44,PCB_50,PCB_52,PCB_66_95,PCB_77,PCB_87,PCB_101_90,PCB_105,PCB_118,PCB_126,PCB_128,PCB_138,PCB_153_132,PCB_169,PCB_170_190,PCB_180,PCB_187,PCB_195_208,PCB_206,PCB_209,Total
MERY1N,MERY,1993,n,,<2,<2,<2,<2,<2,<2,<2,2.2,<2,<2,2.9,<2,<2,<2,<2,5.9,8.6,<2,<2,<2,<2,<2,<2,<2,20
MERY2N,MERY,1993,n,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.2,<2,<2,<2,<2,<2,<2,<2,3.2
MERY3N,MERY,1993,n,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,5.5,9.6,<2,<2,<2,<2,2.1,<2,<2,17
MERY1N,MERY,1993,n,,<2,<2,<2,<2,<2,<2,<2,2.2,<2,<2,2.9,<2,<2,<2,<2,5.9,8.6,<2,<2,<2,<2,<2,<2,<2,20
MERY2N,MERY,1993,n,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.2,<2,<2,<2,<2,<2,<2,<2,3.2
MERY3N,MERY,1993,n,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,5.5,9.6,<2,<2,<2,<2,2.1,<2,<2,17
MEBC1P,MEBC,1995,p,,<2,<2,<2,2.5,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,2.1,4.4,<2,<2,<2,<2,<2,<2,<2,9
MEBC2P,MEBC,1995,p,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,ND
MEBC3P,MEBC,1995,p,,<2,<2,<2,2.5,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,3.9,<2,<2,<2,<2,<2,<2,<2,6.4
MEBC4P,MEBC,1995,p,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,ND
MEBC4P Duplicate,MEBC,1995,p,TRUE,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,ND
MERY 1,MERY,1999,,,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,2.8,<1,2.8,<1.5,<1,5.4,7.1,<1.5,<1.5,<1,2.6,<1.5,<1.5,NA,21
MERY 2,MERY,1999,,,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,1.2,<1,2.1,<1.5,<1,3.6,5.2,<1.5,<1.5,<1,1.2,<1.5,<1.5,NA,13
MERY 3,MERY,1999,,,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,2.2,<1,3.2,<1.5,<1,5.5,6.5,<1.5,<1.5,<1,2.6,<1.5,<1.5,NA,20
MERY 4,MERY,1999,,,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,2.6,<1,3.2,<1.5,<1,5.5,6.5,<1.5,<1.5,<1,2.5,<1.5,<1.5,NA,20
MERY Duplicate,MERY,1999,,TRUE,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,2.1,<1,2.8,<1.5,<1,4.8,6.6,<1.5,<1.5,<1,1.9,<1.5,<1.5,NA,18
MEPR 1N,MEPR,2000,n,,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,4.8,<1.5,4.6,<1.5,<1,9.1,10.5,<1.5,<1.5,<1,2.6,<1.5,<1.5,<1.5,32
MEPR 2N,MEPR,2000,n,,<2,<2,<2,1.8,<2,<2,<2,<2,<2,1.6,<1.5,1.5,3.6,<1.5,<1,8.8,9.7,<1.5,<1.5,<1,2.3,<1.5,<1.5,<1.5,29
MEPR 2N Duplicate,MEPR,2000,n,,<2,<2,<2,1.8,<2,<2,<2,<2,<2,<1.5,<1.5,1.3,2.3,<1.5,<1,8.1,9,<1.5,<1.5,<1,1.8,<1.5,<1.5,<1.5,24
MEPR 3N,MEPR,2000,n,,<2,<2,<2,<1,<2,<2,<2,<2,<2,<1.5,4.3,<1.5,3.8,<1.5,<1,7.6,8.9,<1.5,<1.5,<1,<1,<1.5,<1.5,<1.5,25
MEPR 4N,MEPR,2000,n,,<2,<2,2.9,<1,<2,<2,<2,<2,<2,<1.5,<1.5,1.9,2.95,<1.5,<1,9.03,9.52,<1.5,<1.5,<1,3.24,<1.5,<1.5,<1.5,30
