Code,Site,Year,Type,Surrogate,Pesticide,Flag,Concentration
MERY1N,MERY,1993,N,90,HCB,TRUE,2
MERY1N,MERY,1993,N,90,g_HCH,TRUE,2
MERY1N,MERY,1993,N,90,Heptachlor,TRUE,2
MERY1N,MERY,1993,N,90,Aldrin,TRUE,2
MERY1N,MERY,1993,N,90,Heptachlor Epoxide,TRUE,2
MERY1N,MERY,1993,N,90,op_DDE,TRUE,2
MERY1N,MERY,1993,N,90,a_Endosulfan,TRUE,2
MERY1N,MERY,1993,N,90,cis_Chlordane,TRUE,2
MERY1N,MERY,1993,N,90,Transnonachlor,TRUE,2
MERY1N,MERY,1993,N,90,pp_DDE,FALSE,7
MERY1N,MERY,1993,N,90,Dieldrin,TRUE,2
MERY1N,MERY,1993,N,90,op_DDD,TRUE,2
MERY1N,MERY,1993,N,90,b_Endosulfan,TRUE,2
MERY1N,MERY,1993,N,90,pp_DDD,FALSE,7.3
MERY1N,MERY,1993,N,90,op_DDT,TRUE,2
MERY1N,MERY,1993,N,90,pp_DDT,TRUE,2
MERY1N,MERY,1993,N,90,Mirex,TRUE,2
MERY1N,MERY,1993,N,90,Total,FALSE,14
MERY2N,MERY,1993,N,90,HCB,TRUE,2
MERY2N,MERY,1993,N,90,g_HCH,TRUE,2
MERY2N,MERY,1993,N,90,Heptachlor,TRUE,2
MERY2N,MERY,1993,N,90,Aldrin,TRUE,2
MERY2N,MERY,1993,N,90,Heptachlor Epoxide,TRUE,2
MERY2N,MERY,1993,N,90,op_DDE,TRUE,2
MERY2N,MERY,1993,N,90,a_Endosulfan,TRUE,2
MERY2N,MERY,1993,N,90,cis_Chlordane,TRUE,2
MERY2N,MERY,1993,N,90,Transnonachlor,TRUE,2
MERY2N,MERY,1993,N,90,pp_DDE,FALSE,2.2
MERY2N,MERY,1993,N,90,Dieldrin,TRUE,2
MERY2N,MERY,1993,N,90,op_DDD,TRUE,2
MERY2N,MERY,1993,N,90,b_Endosulfan,TRUE,2
MERY2N,MERY,1993,N,90,pp_DDD,TRUE,2
MERY2N,MERY,1993,N,90,op_DDT,TRUE,2
MERY2N,MERY,1993,N,90,pp_DDT,TRUE,2
MERY2N,MERY,1993,N,90,Mirex,TRUE,2
MERY2N,MERY,1993,N,90,Total,FALSE,2.2
MERY3N,MERY,1993,N,93,HCB,TRUE,2
MERY3N,MERY,1993,N,93,g_HCH,TRUE,2
MERY3N,MERY,1993,N,93,Heptachlor,TRUE,2
MERY3N,MERY,1993,N,93,Aldrin,TRUE,2
MERY3N,MERY,1993,N,93,Heptachlor Epoxide,TRUE,2
MERY3N,MERY,1993,N,93,op_DDE,TRUE,2
MERY3N,MERY,1993,N,93,a_Endosulfan,TRUE,2
MERY3N,MERY,1993,N,93,cis_Chlordane,TRUE,2
MERY3N,MERY,1993,N,93,Transnonachlor,TRUE,2
MERY3N,MERY,1993,N,93,pp_DDE,TRUE,2
MERY3N,MERY,1993,N,93,Dieldrin,TRUE,2
MERY3N,MERY,1993,N,93,op_DDD,TRUE,2
MERY3N,MERY,1993,N,93,b_Endosulfan,TRUE,2
MERY3N,MERY,1993,N,93,pp_DDD,TRUE,2
MERY3N,MERY,1993,N,93,op_DDT,TRUE,2
MERY3N,MERY,1993,N,93,pp_DDT,TRUE,2
MERY3N,MERY,1993,N,93,Mirex,TRUE,2
MERY3N,MERY,1993,N,93,Total,TRUE,NA
MEPR1N,MEPR,1994,N,68,HCB,TRUE,2
MEPR1N,MEPR,1994,N,68,g_HCH,FALSE,3.3
MEPR1N,MEPR,1994,N,68,Heptachlor,TRUE,2
MEPR1N,MEPR,1994,N,68,Aldrin,TRUE,2
MEPR1N,MEPR,1994,N,68,Heptachlor Epoxide,TRUE,2
MEPR1N,MEPR,1994,N,68,op_DDE,TRUE,2
MEPR1N,MEPR,1994,N,68,a_Endosulfan,TRUE,2
MEPR1N,MEPR,1994,N,68,cis_Chlordane,TRUE,2
MEPR1N,MEPR,1994,N,68,Transnonachlor,TRUE,2
MEPR1N,MEPR,1994,N,68,pp_DDE,FALSE,5.7
MEPR1N,MEPR,1994,N,68,Dieldrin,TRUE,2
MEPR1N,MEPR,1994,N,68,op_DDD,FALSE,2.5
MEPR1N,MEPR,1994,N,68,b_Endosulfan,TRUE,2
MEPR1N,MEPR,1994,N,68,pp_DDD,FALSE,5
MEPR1N,MEPR,1994,N,68,op_DDT,TRUE,2
MEPR1N,MEPR,1994,N,68,pp_DDT,TRUE,2
MEPR1N,MEPR,1994,N,68,Mirex,TRUE,2
MEPR1N,MEPR,1994,N,68,Total,FALSE,17
MEPR2N,MEPR,1994,N,72,HCB,TRUE,2
