1997 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT													
													
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
 	Maine												

1997	Clarks Cove	1	0	380	1.1	2.6	5.6	500	0.61	1.5	3.8	90	13.1
1997	Clarks Cove	2	0	460	1.8	3.2	7.7	660	0.65	2	6.2	140	12
1997	Clarks Cove	3	0	380	1.6	2.9	6.5	540	0.63	1.9	4.6	140	12.5
1997	Clarks Cove	4	0.09	493	1.7	3.3	8.2	744	0.75	2.1	5.7	127	11.8

Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
	New Hampshire												
													
1997	Rye Harbor	1	0	200	1.9	1.9	7.7	400	0.71	1.9	3.1	140	10
1997	Rye Harbor	2	0.1	210	1.4	1.6	6.5	330	0.75	1.6	2.1	110	11.7
1997	Rye Harbor	3	0	91	1	0.9	3.8	170	0.4	0.9	1.3	66	18.8
1997	Rye Harbor	4	0.1	220	1.8	3.8	9.8	350	0.71	2.6	2.8	150	10.4
 													
1997	Dover Point	1	0	240	1.9	2.4	7.2	330	0.71	1.5	1.8	100	12.3
1997	Dover Point	2	0	180	1.7	3	6.2	280	0.66	1.3	1.7	130	12
1997	Dover Point	3	0	260	1.7	2.3	6.6	340	0.78	1.3	1.3	100	12.7
1997	Dover Point	4	0.09	251	1.8	2.3	6.8	353	0.63	1.4	2	106	12.3
