GULF OF MAINE 1992 MUSSEL SAMPLES							

Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	MASN1N	MASN2N	MASN3N	MASN1C	MASN2C	MASN3C	MANI1C
	OCT	OCT	OCT	OCT	OCT	OCT	OCT

Naphthalene	<30	<30	<30	<30	<30/<30	<30	<30
2-Me naphthalene	<30	<30	<30	<30	<30/<30	<30	<30
1-Me naphthalene	<30	<30	<30	<30	<30/<30	<30	<30
Biphenyl	<20	<20	<20	<20	<20/<20	<20	<20
"2,6-Dime naphthalen"	<20	<20	<20	<20	<20/<20	<20	<20
Acenaphthylene	<10	<10	<10	<10	<10/<10	<10	<10
Acenaphthene	<10	<10	<10	<10	<10/<10	<10	<10
"2,3,5-Trime naphthal"	<20	<20	<20	<20	<20/<20	<20	24
Fluorene	<10	<10	<10	<10	<10/<10	<10	<10
Phenanthrene	<10	<10	<10	<10	<10/<10	<10	23
Anthracene	<10	<10	<10	<10	<10/<10	<10	<10
1-Me phenanthrene	<10	<10	<10	<10	<10/<10	<10	27
Fluoranthene	22	17	16	12	12/11.	13	138
Pyrene	<10	<10	<10	<10	<10/<10	<10	113
Benzo(a)anthracene	<10	<10	<10	<10	<10/<10	<10	<10
Chrysene	<10	<10	<10	<10	<10/<10	<10	124
Benzo(b+k)fluoranthen	<10	<10	<10	<10	<10/<10	<10	133
Benzo(e)pyrene	<10	<10	<10	<10	<10/<10	<10	57
Benzo(a)pyrene	<10	<10	<10	<10	<10/<10	<10	19
Perylene	<10	<10	<10	<10	<10/<10	<10	<10
Indeno(123cd)pyren	<10	<10	<10	<10	<10/<10	<10	14
Dibenzo(ah)anthrace	<10	<10	<10	<10	<10/<10	<10	<10
Benzo(ghi)perylene	<10	<10	<10	<10	<10/<10	<10	18

TOTAL	22	17	16	12	12/11.	13	690


Surrogate Recovery (%)							

Naph-d8	43	44	49	52	49/39	46	48
Anap-d10	52	64	58	65	64/64	61	65
Chry-d12	56	61	66	71	69/75	71	68
Bap-d12	57	59	67	72	71/80	74	73
BghiP-d12	63	72	74	81	79/83	77	77


	 	 					








GULF OF MAINE 1992 MUSSEL SAMPLES							


Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	MANI2C	MANI3C	MANI1N	MANI2N	MANI3N	NHLH1P	NHLH2P
	OCT	OCT	OCT	OCT	OCT	OCT	OCT

Naphthalene	<30/<30	<30	<30	<30	<30/<30	<30	<30
2-Me naphthalene	<30/<30	<30	<30	<30	<30/<30	<30	<30
1-Me naphthalene	<30/<30	<30	<30	<30	<30/<30	<30	<30
Biphenyl	<20/<20	<20	<20	<20	<20/<20	<20	<20
"2,6-Dime naphthalen"	<20/<20	<20	<20	<20	<20/<20	<20	<20
Acenaphthylene	<10/<10	<10	<10	<10	<10/<10	<10	<10
Acenaphthene	<10/<10	<10	<10	<10	<10/<10	<10	<10
"2,3,5-Trime naphthal"	26/33	32	<20	25	25/<20	<20	<20
Fluorene	<10/<10	<10	<10	<10	<10/<10	<10	<10
Phenanthrene	22/22	26	15	16	16/15	<10	<10
Anthracene	<10/25	19	<10	<10	<10/<10	<10	<10
1-Me phenanthrene	22/24	24	21	<10	17/<10	<10	<10
Fluoranthene	118/130	141	94	85	80/86	39	35
Pyrene	89/100	105	65	57	56/60	30	26
Benzo(a)anthracene	100/106	118	66	63	64/64	16	14
Chrysene	96/102	113	62	59	60/60	27	23
Benzo(b+k)fluoranthen	98/107	117	59	56	66/63	38	32
Benzo(e)pyrene	48/52	50	32	30	28/29	18	18
Benzo(a)pyrene	<10/17	18	<10	<10	<10/<10	<10	<10
Perylene	<10/<10	<10	<10	<10	<10/<10	<10	<10
Indeno(123cd)pyren	<10/14	<10	<10	<10	<10/<10	12	<10
Dibenzo(ah)anthrace	<10/<10	<10	<10	<10	<10/<10	<10	<10
Benzo(ghi)perylene	16/17	19	<10	<10	<10/<10	14	12

TOTAL	635	782	414	391	412	194	160


Surrogate Recovery (%)							

Naph-d8	39/41	37	21	31	32/30	37	56
Anap-d10	63/64	60	39	53	47/40	66	67
Chry-d12	66/74	66	49	62	59/76	79	80
BaP-d12	66/76	70	47	61	61/81	83	83
BghiP-d12	69/72	63	48	61	57/76	85	87











GULF OF MAINE 1992 MUSSEL SAMPLES							

Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	NHLHP3	NHSIP1	NHSIP2	NHSIP3	NHOPP1	NHOPP2	NHOPP3
	OCT	OCT	OCT	OCT	OCT	OCT	OCT

Naphthalene	<30/<30	45	39	39/34	39	46	71
2-Me naphthalene	<30/<30	37	31	37/32	<30	32	40
1-Me naphthalene	<30/<30	<30	<30	<30/<30	<30	<30	<30
Biphenyl	<20/<20	<20	<20	<20/<20	<20	<20	<20
"2,6-Dime naphthalen"	<20/<20	20	<20	<20/<20	<20	<20	<20
Acenaphthylene	<10/<10	<10	<10	<10/<10	<10	<10	<10
Acenaphthene	<10/<10	<10	<10	<10/<10	<10	<10	<10
"2,3,5-Trime naphthal"	<20/<20	<20	<20	<20/<20	<20	<20	<20
Fluorene	<10/<10	<10	<10	<10/<10	<10	<10	<10
Phenanthrene	<10/<10	11	<10	10/<10	<10	<10	<10
Anthracene	<10/<10	<10	<10	<10/<10	<10	<10	<10
1-Me phenanthrene	<10/<10	15	<10	16/17	<10	<10	<10
Fluoranthene	34/32	50	41	60/54	20	21	20
Pyrene	27/25	45	37	56/51	14	15	20
Benzo(a)anthracene	15/14	21	19	30/27	<10	<10	<10
Chrysene	25/23	34	30	46/42	<10	<10	<10
