 1997 Tissue Concentrations of Polychlorinated Biphenyls in Mytilus edulis (ng/g dry weight).														


 	MECC1 	MECC2 	MECC3 	MECC4 	NHRH1 	NHRH2 	NHRH3 	NHRH4 	NHDP1 	NHDP2 	NHDP3 	NHDP4 	NHDP4 	

Congener No.														

"8,5 "	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	<2.8	
"18,15 "	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	
29	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	
28	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	<2.1	
50	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	<2.4	
52	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	<1.9	
44	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	<2.0	
"66,95 "	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	1.6	
"101,90 "	5	5	4.8	3	<1.6	<1.6	<1.6	<1.6	7.9	8.1	5.8	5	4.1	
87	<1.7	<1.7	<1.7	<1.7	<1.7	<1.7	<1.7	<1.7	1.8	2	<1.7	<1.7	<1.7
77	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	<2.2	2.3	2.4	2.2	<2.2	<2.2
154	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3	<2.3
118	6.2	6.4	6	3.9	2.3	1.8	2.1	1.9	9.6	9.8	8.1	6.3	6.4
105	12.7	12.6	11.5	8.1	5.7	4.7	5	4.5	17	17.6	14.8	12.2	11.9
"153,132"	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	2.4	2.6	3	1.6	2.1
138	11	11.2	10	7.2	4.6	3.7	4	3.7	14.5	14.2	12.6	10	9.7
126	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4
187	4.8	4.9	4.2	2.9	1.6	1.2	1.3	1.1	5.7	5.5	4.4	4	3.8
128	1.1	1.2	1	<0.7	<0.7	<0.7	<0.7	<0.7	2	2	1.1	1.3	<0.7
180	1.4	1.7	1.6	<1.1	<1.1	<1.1	<1.1	<1.1	1.1	1.1	<1.1	<1.1	<1.1
169	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3
"170,190"	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3	<1.3
"195,208"	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4
206	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4	<1.4
209	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5

Total	42.3	43	39	25.1	14.2	11.4	12.4	11.1	64.2	65.3	52	40.3	39.7
													
Surrogate Recoveries (%)													
103	95	91	86	77	87	84	84	72	97	95	83	99	66
198	103	102	97	89	101	101	102	87	98	95	99	99	95
