 1998 Tissue Concentrations of Polychlorinated Biphenyls in Mytilus edulis (ng/g dry weight).																																																																																										


 	MASN1N 	MASN2N 	MASN3N 	MASN4N 	MAIH1N 	MAIH1N 	MAIH2N 	MAIH3N 	MAIH4N 	MAPR1N 	MAPR2N 	MAPR3N 	MAPR4N 	NHLH1N 	NHLH2N 	NHLH3N 	NHLH4N 	NHSS1N 	NHSS2N 	NHSS3N 	NHSS4N 	NHSS4N	NHGP1N 	NHGP2N 	NHGP3N 	NHGP4N 	NHDP1N 	NHDP2N	NHDP3N 	NHDP4N 	NHNM1N 	NHNM1N	NHNM2N 	NHNM3N 	NHNM4N 	MECC1N 	MECC2N 	MECC3N 	MECC4N 	MEKN1N 	MEKN2N	MEKN3N 	MEKN4N 	MEDM1N 	MEDM2N	MEDM3N 	MEDM4N 	MEBB1N 	MEBB1N	MEBB2N 	MEBB3N 	MEBB4N 	NBNR1N 	NBNR2N 	NBNR3N 	NBNR4N 	NBCH1N 	NBCH2N 	NBCH2N 	NBCH3N 	NBCH4N 	NBLN1N 	NBLN2N 	NBLN3N 	NBLN4N 	NBLN4N 	NBLB1N 	NBLB2N 	NBLB3N 	NBLB4N 	NBCG1N 	NBCG2N 	NBCG3N 	NBCG4N 	NBTC1N 	NBTC2N 	NBTC3N 	NBTC4N 	NSCW1N 	NSCW2N	NSCW3N 	NSCW4N 	NSDI1N 	NSDI2N 	NSDI3N 	NSDI4N 	NSBE1N 	NSBE2N	NSBE3N 	NSBE3N
																						duplicate										duplicate																	duplicate										duplicate							duplicate																								duplicate
Congener No.																																																																																										
																																																																																										
8;5 	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
18;15 	<2	<2	<2	<2	11	11	9.1	9.6	7.2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
29	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
28	<2	<2	<2	<2	23	23	20	22	18	<2	<2	2.01	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
50	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
52	<2	<2	<2	<2	55	55	48	51	45	3.8	4.0	4.6	3.9	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	2.1	2	2.8	2.7	3.6	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	2.1	<2	<2	2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
44	<2	<2	<2	<2	30	30	26	26	22	2.0	2.0	2.2	1.9	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
66;95 	2	<2	<2	<2	38	38	33	34	32	4.4	4.7	5.1	4.6	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	2.4	2.2	3.1	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
101;90 	3.7	2.5	3.6	3	118	118	107	105	100	13.4	13	14	13	1.5	1.6	<1.5	<1.5	4.8	3.6	4.6	3.7	3.3	3.6	3.2	3.6	3.3	2.9	4.6	4.1	5.6	6.9	6.6	9.1	8.9	9.5	4.8	4.8	4.4	5.6	2.8	2.3	1.8	2.7	<1.5	<1.5	<1.5	<1.5	7.8	6.9	6.6	5.5	6.9	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	5.6	6.7	6.1	5.9	2.2	2.6	3.1	3.0	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
87	<1.5	<1.5	<1.5	<1.5	34	34	33	30	30	4.7	4.8	5.3	4.7	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	2.1	2.1	2.8	2.7	2.8	<1.5	<1.5	<1.5	2.1	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	2.7	1.9	2.4	1.7	2.7	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	2.0	2.4	2.3	2.2	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
77	<2	<2	<2	<2	31	31	28	30	28	4.0	4.3	4.8	4.2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	2.2	<2	2	<2	2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
118	4.3	3	4.8	3.6	91	91	90	85	83	13	13	15	13	2	2.1	1.7	1.9	5.3	4	5	4.1	3.8	4	3.8	4	3.7	3	5	4.3	5.7	7.1	7.4	9.4	9.2	9.5	5.1	5.0	4.6	6.2	1.9	1.4	1.2	1.6	<1	<1	<1	<1	6.4	5.6	5.8	5.1	6.1	<1	<1	<1	<1	<1	<1	<1	<1	<1	1.1	1.1	1.1	1.1	1.2	<1	1.3	1.0	1.1	6.6	8.1	7.3	7.1	2.2	2.8	3.1	3.1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
153;132	10	6.6	11	8.6	120	120	122	114	113	29	30	33	30	4.7	5	4	4.6	11	8.6	9.4	8.3	7.8	7.9	7.3	8.1	7.4	7.1	11	9.6	13	14	14	17	18	17	13	12	10	14	6.9	5.2	4.4	6.2	2.1	1.9	2.1	2.5	11	8.8	9.9	8.3	9.9	2	2	1	2	<1.5	<1.5	<1.5	<1.5	<1.5	3.5	2.9	3.1	3.2	3.5	3.0	4.3	3.2	3.3	8.3	8.9	8.5	8.0	9.6	10.8	13.0	13.4	<1.5	<1.5	<1.5	<1.5	2	2	2	2	<1.5	<1.5	<1.5	<1.5
105	1	<1	1.1	<1	30	30	29	28	27	4.9	5.0	5.4	5.1	<1	<1	<1	<1	1.4	<1	1.3	<1	<1	<1	<1	<1	<1	<1	1.5	1.3	1.6	2.3	2.3	3.3	3	3.5	2.4	1.7	1.6	4.7	<1	<1	<1	<1	<1	<1	<1	<1	2.6	2.6	2.6	2.6	3.1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	1.9	2.3	2.1	2.1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
138	8.4	5	7.9	6.2	116	116	118	107	104	25	26	29	26	3.8	3.9	3.3	3.6	8.8	6.7	7.9	6.5	6.1	6.5	6.2	6.7	6.1	5.9	8.4	7.4	11	12	13	15	15	15	11	10	8	12	4.9	3.8	3.2	4.6	1.5	1.5	1.6	1.7	8.9	7.5	8.5	7.1	8.6	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	2.4	2.1	2.2	2.2	2.5	2.2	2.8	2.3	2.2	8.3	9.0	8.8	8.3	6.6	7.3	8.8	9.0	<1.5	<1.5	<1.5	<1.5	1	2	1	2	<1.5	<1.5	<1.5	<1.5
126	<1.5	<1.5	<1.5	<1.5	8.4	8.4	10	8.3	10	3.0	3.0	3.1	2.9	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
187	2.9	1.8	2.8	2.2	31	31	32	30	31	12	11	11	10	1.6	1.6	1.4	1.6	3.7	2.9	3	2.7	2.5	2.6	2.4	2.6	2.5	2.6	3.2	3	4	4.7	4.6	5.3	5.4	5.1	4.9	4.6	3.9	5.2	2.6	1.6	1.5	2.1	<1	<1	<1	<1	4.5	3.8	4.3	3.4	4.3	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	1.4	1.4	1.2	1.2	4.5	5.3	5.8	6.6	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
128	1.2	<1	1.4	<1	20	20	19	18	18	3.0	3.3	3.5	3.2	<1	<1	<1	<1	1.8	1.4	1.6	1.4	1.4	1.4	1.4	1.5	1.3	<1	<1	<1	1	1.8	1.8	2	2.1	2.1	1.1	<1	<1	1.1	<1	<1	<1	<1	<1	<1	<1	<1	1.4	<1	1.2	1	1.4	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	1.4	1.5	1.5	1.4	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
180	<1	<1	<1	<1	17	17	21	15	15	4.5	4.6	4.6	4.5	<1	<1	<1	<1	1.1	<1	1.1	1	<1	<1	<1	1	<1	<1	<1	<1	<1	2	1.9	2.1	2.1	2.1	2.0	1.7	1.5	1.7	1.6	1.1	<1	1.5	<1	<1	<1	<1	1.7	1.5	1.9	1.5	1.7	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	1.1	1.4	1.0	1.0	1.8	1.9	2.6	2.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
169	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
170;190	<1.5	<1.5	<1.5	<1.5	2.6	2.6	3.5	3	2.7	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
195;208	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
206	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
209	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
																																																																																										
Total	34	19	33	24	776	776	749	716	686	126	128	143	127	14	14	10	12	38	27	34	28	25	26	24	28	24	22	34	30	42	55	56	71	71	73	44	40	34	52	20.7	15.4	12.1	18.7	3.6	3.4	3.7	4.2	49.2	40.7	45.2	36.2	48.7	2	2	1	2	ND	ND	ND	ND	ND	7.0	6.0	6.3	6.4	7.2	5.2	8.4	6.6	6.5	36.5	41.7	38.6	37.3	26.8	30.6	36.6	38.0	ND	ND	ND	ND	3	4	3	4	ND	ND	ND	ND
																																																																																										
Surrogate Recovery (%)																																																																																										
