1998 Tissue Concentrations of Chlorinated Pesticides in Mytilus edulis (ng/g dry wt).																																																																																									
																																																																																									

 	MASN1N 	MASN2N 	MASN3N 	MASN4N	MAIH1N 	MAIH2N 	MAIH3N 	MAIH4N 	MAPR1N 	MAPR2N 	MAPR3N 	MAPR4N	NHLH1N 	NHLH2N 	NHLH3N 	NHLH4N 	NHSS1N 	NHSS2N 	NHSS3N 	NHSS4N 	NHSS4N	NHGP1N 	NHGP2N 	NHGP3N 	NHGP4N 	NHDP1N 	NHDP2N 	NHDP3N 	NHDP4N 	NHNM1N 	NHNM1N 	NHNM2N 	NHNM3N 	NHNM4N 	MECC1N 	MECC2N 	MECC3N 	MECC4N 	MEKN1N 	MEKN2N	MEKN3N 	MEKN4N 	MEDM1N 	MEDM2N	MEDM3N 	MEDM4N 	MEBB1N 	MEBB1N	MEBB2N 	MEBB3N 	MEBB4N 	NBNR1N 	NBNR2N 	NBNR3N 	NBNR4N 	NBCH1N 	NBCH2N 	NBCH2N 	NBCH3N 	NBCH4N 	NBLB1N 	NBLB2N 	NBLB3N 	NBLB4N 	NBLN1N 	NBLN2N 	NBLN3N 	NBLN4N 	NBLN4N 	NBTC1N 	NBTC2N 	NBTC3N 	NBTC4N 	NBCG1N 	NBCG2N 	NBCG3N 	NBCG4N 	NSCW1N 	NSCW2N	NSCW3N	NSCW4N	NSDI1N 	NSDI2N 	NSDI3N 	NSDI4N 	NSBE1N 	NSBE2N 	NSBE3N 	NSBE3N
																					duplicate										duplicate																	duplicate										duplicate											duplicate																				duplicate
Pesticide																					 																											 										 											 																				 
																																																																																									
HCB 	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
g-HCH 	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
Heptachlor 	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
Aldrin 	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
Hepta Epoxide 	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.2	<1.2	<1.2	<1.2	1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.2	<1.2	<1.2	<1.2	<1.2	<1.2
cis-Chlordane 	2.3	2	2.4	2.1	10	8.5	11	9.7	4.7	5	5.2	4.8	2.12	2.48	2.1	2.11	2.84	2.05	2.36	2.16	2.1	2.16	2.18	2.52	2.15	2	2.1	1	1.2	2.7	1.7	2.7	2.4	3.1	2.3	2.4	2.1	2.6	<1	<1	<1	<1	<1	<1	<1	<1	2	2.9	2.2	1.5	1.4	1.4	1.2	1.0	1.3	1.1	1.3	1.2	1.0	1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1	<1	<1	<1	<1	<1	1.2	1.0	1.1	1.8	1.8	1
trans-Nonachlor 	2.5	1.95	2.5	2.2	11	9.7	7.2	11	4	4.2	4.6	4.1	1.1	1.25	1.14	1.34	1.62	1.15	1.35	1.27	1.28	1.27	1.17	1.38	1.25	1.4	1.5	1.5	1.6	2.3	2	2.3	2.4	2.4	1.4	1.5	1.3	1.5	<1	<1	<1	<1	<1	<1	<1	<1	2	1.8	1.5	1.5	1.5	1.8	1.8	1.5	1.8	1.5	1.1	1.0	<1	1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
a-endosulfan 	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1	1.0	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
"o,p'-DDE "	<1.2	<1.2	<1.2	<1.2	2.3	2.3	2.7	2.7	4.1	3.9	4.3	3.6	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.8	1.9	2.1	2.3	2.8	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.5	1.3	1.7	1.2	1.6	<1.2	<1.2	<1.2	<1.2	1.8	<1.2	<1.2	<1.2	<1.2	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
