2000 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT														

Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID	
 	Massachusetts					 								
														
2000	MAEX	1N	0.1	180	1	1.5	8.9	400	0.4	2	3.3	99	15.7	
2000	MAEX	2N	0.2	260	1	1.7	10	550	0.3	2.2	3.7	92	15.1	
2000	MAEX	3N	0.1	190	1	1.7	9.1	470	0.6	2.3	4.9	95	15	
2000	MAEX	4N	0.1	160	1	1.5	7.9	410	0.6	1.9	3.9	87	16.4	
 														
2000	MAOB	1N	0.1	110	1.8	1.8	7.3	270	1	2.6	4.2	140	12.5	
2000	MAOB	2N	0.1	100	1.9	1.7	6.9	260	1	2.7	5.3	170	11.8	
2000	MAOB	3N	0.1	110	1.8	1.8	7	250	1.1	2.6	4.4	160	11.9	
2000	MAOB	4N	ND0.1	82	1.6	1.7	7.4	230	0.6	2.6	4.4	170	13.4	
 														
2000	MASN	1N	1.3	81	1.6	1	6.6	210	0.5	1.8	2.8	86	15.2	
2000	MASN	2N	0.6	82	1.1	0.9	6.2	210	0.4	1.8	2.1	79	14.4	
2000	MASN	3N	0.6	140	1.5	1	6.5	360	0.5	2	2.9	91	15.7	
2000	MASN	4N	0.8	95	1.2	0.9	6.7	220	0.5	1.87	2.3	75	17.7	
 														
2000	MAIP	1N	0.1	59	1.7	1.3	6.8	200	0.4	2.4	1.8	130	14.6	
2000	MAIP	2N	0.1	62	1.5	1.2	6.5	200	0.5	1.9	1.8	90	15.6	
2000	MAIP	3N	0.2	48	1.5	1	7	160	0.3	2	1.4	120	15.9	
2000	MAIP	4N	0.2	48	1.4	1	8	150	0.3	1.7	1.3	100	16.8	
 														
2000	MAWP	1N	0.1	230	1.9	2.3	6.7	470	1	2.6	3.5	91	14.2	
2000	MAWP	2N	0.1	150	1.7	2.1	6.5	350	0.8	2.4	3.3	100	14.1	
2000	MAWP	3N	0.1	140	1.8	2.2	6.6	320	0.8	2.4	3.3	130	14.4	
2000	MAWP	4N	0.1	180	2.2	2.5	7.1	410	0.9	3	4.3	170	14.2	
														
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID	
 	New Hampshire					 								
														
2000	Dover Point	1N	ND 0.1	200	2	2	8	440	1	3	3	160	14	
2000	Dover Point	2N	ND 0.1	200	2	3	8	520	1	3	3	140	13	
2000	Dover Point	3N	ND 0.1	300	2	3	8	660	0	3	4	110	14	
2000	Dover Point	4N	ND 0.1	200	2	3	7	440	1	3	3	110	14	
 														
2000	North Mill Pond	1N	ND 0.1	200	2	2	9	510	0	3	6	130	12	
2000	North Mill Pond	2N	ND 0.1	200	2	2	9	600	1	2	7	140	13	
2000	North Mill Pond	3N	0	500	2	4	11	1200	1	2	11	240	11	
2000	North Mill Pond	4N	ND 0.1	200	2	2	8	490	1	3	5	140	12	
 														
2000	NHHR	1N	0	110	1	1	10	320	0	2	2	120	17	
2000	NHHR	2N	0	200	1	1	10	420	0	2	2	99	17	
