	                                1993 Gulfwatch Metal Concentrations in ug/g DRY WEIGHT 													
							NEW BRUNSWICK							
Year	Station	Sample	Ag	Cd	Cr	Cu	Pb	Hg	Ni	Zn	Al	Fe	% Solids	
														
														
1993	St. Croix	1N	0.076	1.29	2.05	6.74	1.29	0.53	2.12	73.5	356	598	13.2	
1993	St. Croix	2N	0.070	1.26	1.54	6.15	1.12	0.49	1.75	97.9	308	524	14.3	
1993	St. Croix	3N	0.073	1.61	1.53	5.84	1.46	0.22	1.82	102.2	226	577	13.7	
1993	St. Croix	4N	0.083	1.57	2.07	10.08	1.82	0.83	1.98	107.4	339	736	12.1	
														
1993	Limekiln Bay	1N	0.030	1.64	1.27	6.27	1.27	0.22	1.94	82.1	269	500	13.4	
1993	Limekiln Bay	2N	0.028	1.74	1.67	6.39	1.67	0.35	1.81	104.2	306	813	14.4	
1993	Limekiln Bay	3N	0.033	3.17	1.63	5.93	2.52	4.63	2.60	113.8	325	626	12.3	
1993	Limekiln Bay	4N	0.028	1.42	1.13	6.10	1.49	0.64	1.49	85.1	284	567	14.1	
														
1993	Hospital Island	1N	0.116	1.65	1.04	4.39	0.85	2.80	1.16	67.1	73	213	16.4	
1993	Hospital Island	2N	0.065	1.57	1.11	4.51	0.78	2.09	0.98	78.4	59	196	15.3	
1993	Hospital Island	3N	0.187	1.74	1.29	6.26	1.10	1.87	1.16	90.3	84	271	15.5	
1993	Hospital Island	4N	0.065	1.75	1.04	4.81	1.04	1.69	1.43	77.9	84	279	15.4	
														
	                                													
							NOVA SCOTIA							
Year	Station	Sample	Ag	Cd	Cr	Cu	Pb	Hg	Ni	Zn	Al	Fe	% Solids	
														
1993	Digby	1N	0.228	1.54	1.79	6.83	4.39	1.06	2.03	113.8	480	797	12.3	
1993	Digby	2N	0.076	1.52	1.59	6.89	3.48	1.21	1.82	106.1	432	644	13.2	
1993	Digby	3N	0.553	2.28	2.28	7.48	3.66	1.38	2.03	113.8	325	626	12.3	
1993	Digby	4N	0.198	1.74	1.98	7.11	4.21	3.64	1.57	115.7	413	645	12.1	
														
1993	Broad Cove	1N	0.092	2.75	2.94	8.07	4.40	4.40	3.49	110.1	202	624	10.9	
1993	Broad Cove	2N	0.064	2.94	2.20	6.88	3.58	2.11	2.57	137.6	202	550	10.9	
1993	Broad Cove	3N	0.078	2.84	3.04	7.06	4.02	1.08	3.14	127.5	225	569	10.2	
1993	Broad Cove	4N	0.068	3.31	1.95	7.29	3.31	0.93	2.71	118.6	263	517	11.8
													
1993	Yarmouth	1N	0.279	1.54	3.27	7.40	3.94	4.04	3.08	80.8	375	1087	10.4
1993	Yarmouth	2N	0.306	2.76	3.27	8.16	3.47	0.71	2.65	100.0	204	939	9.8
1993	Yarmouth	3N	0.411	2.00	2.53	7.26	3.26	1.79	2.63	92.6	211	874	9.5
1993	Yarmouth	4N	0.301	1.83	2.47	7.20	3.33	1.94	2.04	82.8	140	742	9.3
													
1993	Argyle Sound	1N	0.091	1.82	1.74	6.12	3.72	1.07	1.49	90.9	174	612	12.1
1993	Argyle Sound	2N	0.061	2.28	1.93	6.49	5.26	1.49	2.98	87.7	202	746	11.4
