1998 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT													
													
Year	Station	Sample	 AG	 AL      	 CD      	 CR      	 CU     	 FE      	 HG      	 NI      	 PB      	 ZN      	SOLID    
	Massachusetts												
													
1998	Sandwich	1N	0.5	77	1.8	1.1	5.7	220	0.41	 ND 0.8   	2.9	68	14.9
1998	Sandwich	2N	1	62	1.7	1	6.1	200	0.32	 ND 0.8   	2.8	75	15.7
1998	Sandwich	3N	0.5	55	1.6	1	5	180	0.33	 ND 0.8   	2.8	66	15.7
1998	Sandwich	4N	1.3	92	2.5	1.4	8	270	0.43	0.97	4.1	195	15.5

1998	Pines River	1N	 ND 0.1   	190	2.2	3.4	8	360	0.54	1.3	6.9	110	13.8
1998	Pines River	2N	 ND 0.1   	200	1.6	2.5	9.3	400	0.44	1.5	6.7	110	14.4
1998	Pines River	3N	 ND 0.1   	190	2.1	3.3	8.5	310	0.58	1.2	6.3	100	15.2
1998	Pines River	4N	 ND 0.1   	200	1.7	2.5	9.1	360	0.47	1.6	6.7	120	14.8

1998	"Boston, Inner Harbor"	1N	 ND 0.1   	100	2.2	1.5	15	390	0.51	1.1	30	220	14.7
1998	"Boston, Inner Harbor"	2N	 ND 0.1   	110	2.8	1.6	16	440	0.55	1.3	32	310	14.7
1998	"Boston, Inner Harbor"	3N	0.3	150	2.6	1.9	21	610	0.56	1.5	30	230	14.9
1998	"Boston, Inner Harbor"	4N	0.1	170	3	2	26	600	0.56	1.3	37	270	14.9
													
Year	Station	Sample	 AG	 AL      	 CD      	 CR      	 CU     	 FE      	 HG      	 NI      	 PB      	 ZN      	SOLID    
	Maine												
													
1998	MELL	4N	 ND 0.1   	280	2.2	3	7	540	0.82	1.8	6.6	140	11.6
1998	MELL	3N	 ND 0.1   	280	2.1	2.8	8.1	500	0.97	3.9	5.7	150	11.6
1998	MELL	2N	 ND 0.1   	240	2.1	2.7	7.2	440	0.77	1.5	4.9	100	12.9
1998	MELL	1N	 ND 0.1   	390	1.9	4.2	6.5	630	0.71	2.1	5.8	150	12.4

1998	Boothbay Harbor	4N	 ND 0.1   	200	1.1	1.1	14	310	0.55	 ND 0.8   	16	110	11.2
1998	Boothbay Harbor	3N	0.1	150	0.86	1	12	280	0.5	 ND 0.8   	13	93	11.3
1998	Boothbay Harbor	2N	 ND 0.1   	300	0.93	1.3	12	410	0.55	0.8	18	120	11.3
1998	Boothbay Harbor	1N	0.11	380	0.94	1.6	16	520	0.46	1	16	120	12.4

1998	Kennebec River	4N	 ND 0.1   	110	2.4	1.2	5.7	200	0.46	 ND 0.8   	1.4	64	8.6
1998	Kennebec River	3N	0.12	150	2.4	1.5	5.9	270	0.5	1.1	2	58	8.9
1998	Kennebec River	2N	0.13	120	2	1.4	5.2	250	0.3	0.93	1.8	46	9.6
1998	Kennebec River	1N	0.17	87	1.5	0.97	4.5	180	0.39	 ND 0.8   	1.1	43	10.1

1998	Damariscotta	4N	0.12	400	1.3	1.5	5.8	470	0.4	1.2	2	64	10.7
