1999 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT													
													
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
 	Massachusetts					 							
													
1999	Sandwich	1N	0.05	54	1.5	0.7	5.7	120	0.25	0.5	2.1	75	21.3
1999	Sandwich	2N	1.4	56	1.4	0.7	6.5	130	0.25	0.5	2.6	68	19.5
1999	Sandwich	3N	1.8	74	1.9	0.9	7.6	170	0.26	0.7	2.3	80	16.9
1999	Sandwich	4N	0.8	81	1.3	0.7	5.3	150	0.29	0.6	1.1	57	19.1

1999	Sandwich	1N	0.2	250	1.8	2	7.9	470	0.44	1.3	3	140	14
1999	Sandwich	2N	0.1	230	1.7	1.9	7.1	470	0.48	1.3	2.5	110	15.1
1999	Sandwich	3N	0.1	180	1.4	1.6	5.6	370	0.42	1	2	99	13.7
1999	Sandwich	4N	0.1	200	1.7	2	6.4	410	0.53	1.3	2.4	130	13.8

1999	Merrimack River	1N	0.1	100	3.2	1.9	8	310	0.4	1	3	90	14.5
1999	Merrimack River	2N	0.1	110	2.6	1.8	8.3	320	0.42	1.1	3.1	90	11.8
1999	Merrimack River	3N	0.1	110	2	1.6	7	310	0.57	0.9	2.5	76	12.5

1999	Manomet Point	1N	0.2	100	1.1	1.1	5.6	230	0.34	1	2	90	16.9
1999	Manomet Point	2N	0.3	80	1.3	1	5.8	200	0.42	0.9	2	82	17.2
1999	Manomet Point	3N	0.4	85	1.2	0.9	5.7	200	0.31	0.8	1.7	84	19.1
1999	Manomet Point	4N	0.5	85	1	0.8	5.9	200	0.35	0.8	1.3	76	19.5

1999	Cohasset	1N	0.2	90	1	1.2	5.5	260	0.35	0.6	2.5	82	15.4
1999	Cohasset	2N	0.3	130	1.3	1.6	7	320	0.57	0.9	3.9	130	14.7
1999	Cohasset	3N	0.4	130	1.2	1.3	6.2	210	0.57	0.6	2.9	100	15.6
1999	Cohasset	4N	0.8	150	1.1	1.5	7.6	260	0.39	0.9	3.9	150	16.6

1999	Long Island	1N	0.2	150	1.6	1.9	7.1	280	0.48	0.9	6.1	140	12.7
1999	Long Island	2N	0.3	170	1.8	2.2	8.6	380	0.27	1.2	6.4	160	13.2
1999	Long Island	3N	0.2	170	1.7	1.9	7.7	290	0.44	0.9	5.8	200	14
1999	Long Island	4N	0.2	120	1.5	1.6	6.8	220	0.41	0.8	5.3	150	14.9

Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
	Maine												

1999	Kennebec River	1N	0.1	70	2.1	1.4	7.2	130	0.5	0.7	1.1	58	11
1999	Kennebec River	2N	0.1	110	2.5	7.1	8.9	260	0.54	1	1.3	64	11.3
1999	Kennebec River	3N	0.1	110	2.3	2.2	9	190	0.52	1	1.1	64	12.4
1999	Kennebec River	4N	0.1	92	2.1	1.5	11	160	0.55	0.9	1.2	65	12.2

1999	Pickering Island	1N	0.05	94	1.6	1.2	5.5	150	0.75	0.8	0.6	71	15.7
