 2000 Tissue Concentrations of Polyaromatic Hydrocarbons in Mytilus edulis (ng/g dry weight)																																																																																																		


 	MADX 1N	MADX 2N	MADX 3N	MADX 4N	MAOB 1N	MAOB 2N	MAOB 3N	MAOB 4N	MAWN 1N	MAWN 2N	MAWN 3N	MAWN 4N	MAIP 1N	MAIP 2N	MAIP 3N	MAIP 4N	MAIP 4N	MASN 1N	MASN 2N	MASN 3N	MASN 4N	NHHR 1N	NHHR 2N	NHHR 3N	NHHR 4N	NHRH 1N	NHRH 2N	NHRN 3N	NHRN 4N	NHNM 1N	NHNM 2N	NHNM 3N	NHNM 4N	NHSS 1N	NHSS 2N	NHSS 3N	NHSS 4N	NHDP 1N	NHDP 2N	NHDP 3N	NHDP 4N	MECC 1N	MECC 2N	MECC 3N	MECC 4N	MECC 4N	MEUR 1N	MEUR 2N	MEUR 3N	MEUR 4N	MEPH 1N	MEPH 2N	MEPH 3N	MEPH 4N	MECK 1N	MECK 2N	MECK 3N	MECK 4N	MEMR 1N	MEMR 2N	MEMR 3N	MEMR 4N	MEKN 1N	MEKN 2N	MEKN 3N	MEKN 4N	MEPR 1N	MEPR 2N	MEPR 2N	MEPR 3N	MEPR 4N	NBNR 1N	NBNR 2N	NBNR 3N	NBNR 4N	NBHI 1N	NBHI 2N	NBHI 3N	NBHI 4N	NBLB 1N	NBLB 2N	NBLB 3N	NBLB 4N	NBLB 4N	NSAR 1N	NSAR 2N	NSAR 3N	NSAR 4N	NSDI 1N	NSDI 2N	NSDI 2N	NSDI 3N	NSDI 4N	NSDI 4N	NSSC 1N	NSSC 2N	NSSC 3N	NSSC 4N
																																														duplicate																																													duplicate			duplicate				
PAHs																																																																																																		

Naphthalene	6	6	10	4	<4	4	5	7	<4	7	6	16	24	29	15	14	29	5	6	<4	5	<4	4	6	5	10	8	5	6	4	6	8	8	17	23	26	31	19	7	12	13	6	19	10	6	7	7	5	<4	<4	7	4	10	14	15	11	16	14	10	11	9	24	21	16	19	17	24	12	11	29	17	15	9	7	8	7	8	5	5	30	8	19	19	16	4	7	12	9	<4	6	7	<4	5	7	5	10	7	5
1-MethylNaphthalene	4	4	5	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	3	3	6	7	8	7	<3	<3	<3	5	4	<3	<3	<3	3	<3	<3	3	<3	<3	<3	<3	<3	<3	<3	<3	<3	4	<3	4	<3	<3	<3	<3	<3	<3	3	3	4	<3	4	4	<3	<3	<3	<3
2-MethylNaphthalene	9	8	10	5	<3	<3	<3	3	<3	<3	<3	4	4	5	3	3	5	<3	<3	<3	<3	<3	<3	<3	<3	3	<3	<3	<3	<3	<3	3	4	4	5	5	5	4	<3	3	4	<3	4	<3	<3	<3	<3	<3	<3	<3	<3	<3	6	6	13	15	18	16	<3	<3	3	10	7	4	4	4	6	4	4	5	4	4	<3	<3	<3	<3	<3	<3	<3	7	<3	8	6	5	<3	<3	<3	<3	5	5	6	<3	7	8	<3	4	<3	<3
Biphenyl	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	4	3	<3	<3	<3	<3
"2,6-DiMethylNaphthalene"	5	5	6	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	17	16	17	8	18	18	<4	<4	<4	<4
Acenaphthylene	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	5	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4	4	4	4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4
Acenaphthene	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	5	<4	<4	<4	<4
