GULF OF MAINE 1994 MUSSEL SAMPLES							

Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	NSFI1N	NSFI2N	NSFI3N	NSFI4N	NSYR1N	NSYR2N	NSYR3N
	OCT	OCT	OCT	OCT	OCT	OCT	OCT

Naphthalene	<30	<30	<30	<30	<30	<30	<30
2-Me naphthalene	<30	<30	<30	<30	<30	<30	<30
1-Me naphthalene	<30	<30	<30	<30	<30	<30	<30
Biphenyl	<20	<20	<20	<20	<20	<20	<20
"2,6-Dime naphthalen"	<20	<20	<20	<20	<20	<20	<20
Acenaphthylene	<10	<10	<10	<10	<10	<10	<10
Acenaphthene	<10	<10	<10	<10	<10	<10	<10
"2,3,5-Trime naphthal"	<20	<20	<20	<20	<20	<20	<20
Fluorene	<10	<10	<10	<10	<10	<10	<10
Phenanthrene	<10	<10	<10	<10	76	70	46
Anthracene	<10	<10	<10	<10	<10	<10	<10
1-Me phenanthrene	<10	<10	<10	<10	<10	<10	<10
Fluoranthene	<10	<10	<10	<10	159	151	111
Pyrene	<10	<10	<10	<10	70	62	47
Benzo(a)anthracene	<10	<10	<10	<10	16	14	12
Chrysene	<10	<10	<10	<10	31	29	24
Benzo(b+k)fluoranthen	<10	<10	<10	<10	26	23	20
Benzo(e)pyrene	<10	<10	<10	<10	<10	<10	<10
Benzo(a)pyrene	<10	<10	<10	<10	<10	<10	<10
Perylene	<10	<10	<10	<10	<10	<10	<10
Indeno(123cd)pyren	<10	<10	<10	<10	<10	<10	<10
Dibenzo(ah)anthrace	<10	<10	<10	<10	<10	<10	<10
Benzo(ghi)perylene	<10	<10	<10	<10	<10	<10	<10

TOTAL	ND	ND	ND	ND	401	359	260


Surrogate Recovery (%)							

Naph-d8	32	53	38	40	30	30	38
Anap-d10	62	45	68	69	68	63	58
Chry-d12	93	82	94	93	101	89	91
Bap-d12	94	76	94	88	103	83	86
BghiP-d12	94	83	101	93	103	37	76


	 	 					








GULF OF MAINE 1994 MUSSEL SAMPLES							


Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	NSYR4N	NSDI1N	NSDI2N	NSDI3N	NSDI4N	NSBC1N	NSBC2N
	OCT	OCT	OCT	OCT	OCT	OCT	OCT

Naphthalene	<30	<30/<30	<30	<30	<30	<30	<30
2-Me naphthalene	<30	<30/<30	<30	<30	<30	<30	<30
1-Me naphthalene	<30	<30/<30	<30	<30	<30	<30	<30
Biphenyl	<20	<20/<20	<20	<20	<20	<20	<20
"2,6-Dime naphthalen"	<20	<20/<20	<20	<20	<20	<20	<20
Acenaphthylene	<10	<10/<10	<10	<10	<10	<10	<10
Acenaphthene	<10	<10/<10	<10	<10	<10	<10	<10
"2,3,5-Trime naphthal"	<20	<10/<10	<20	<20	<20	<20	<20
Fluorene	<10	<10/<10	<10	<10	<10	28	17
Phenanthrene	49	23/22	18	27	19	133	103
Anthracene	<10	<10/<10	<10	<10	<10	14	12
1-Me phenanthrene	<10	12/10.	<10	15	<10	15	10
Fluoranthene	113	38/34	31	45	27	127	100
Pyrene	48	22/19	16	25	14	91	72
Benzo(a)anthracene	12	<10/<10	<10	<10	<10	27	20
Chrysene	25	15/14	11	16	11	27	21
Benzo(b+k)fluoranthen	21	16/15	14	13	13	32	24
Benzo(e)pyrene	<10	<10/<10	<10	<10	<10	<10	<10
Benzo(a)pyrene	<10	<10/<10	<10	<10	<10	<10	<10
Perylene	<10	<10/<10	<10	<10	<10	<10	<10
Indeno(123cd)pyren	<10	<10/<10	<10	<10	<10	<10	<10
Dibenzo(ah)anthrace	<10	<10/<10	<10	<10	<10	<10	<10
Benzo(ghi)perylene	<10	<10/<10	<10	<10	<10	<10	<10

TOTAL	268	126	90	141	84	494	379


Surrogate Recovery (%)							

Naph-d8	38	41/36	30	42	36	37	38
Anap-d10	58	67/54	56	69	58	43	66
Chry-d12	91	90/91	80	79	81	63	87
BaP-d12	93	84/86	77	90	82	58	83
BghiP-d12	97	84/94	81	99	87	51	74











GULF OF MAINE 1994 MUSSEL SAMPLES							

Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	NSBC3N	NSBC4N	NSAG1N	NSAG2N	NSAG3N	NSAG4N	MACO1N
	OCT	OCT	OCT	OCT	OCT	OCT	OCT

Naphthalene	<30	<30/<30	<30	<30/<30	<30	<30	<30
2-Me naphthalene	<30	<30/<30	<30	<30/<30	<30	<30	<30
1-Me naphthalene	<30	<30/<30	<30	<30/<30	<30	<30	<30
Biphenyl	<20	<20/<20	<20	<20/<20	<20	<20	<20
"2,6-Dime naphthalen"	<20	<20/<20	<20	<20/<20	<20	<20	<20
Acenaphthylene	<10	<10/<10	<10	<10/<10	<10	<10	<10
Acenaphthene	<10	21/22	<10	<10/<10	<10	<10	<10
"2,3,5-Trime naphthal"	<20	<20/<20	<20	<20/<20	<20	<20	<20
Fluorene	16	21/22	<10	<10/<10	<10	<10	<10
Phenanthrene	98	88/86	<10	<10/<10	<10	<10	28
Anthracene	10	<10/<10	<10	<10/<10	<10	<10	<10
1-Me phenanthrene	10	<10/<10	<10	<10/<10	<10	<10	<10
Fluoranthene	95	69/69	<10	<10/<10	<10	<10	36
Pyrene	67	48/48	<10	<10/<10	<10	<10	25
Benzo(a)anthracene	19	17/16	<10	<10/<10	<10	<10	<10
Chrysene	20	18/18	<10	<10/<10	<10	<10	<10
Benzo(b+k)fluoranthen	23	14/21	<10	<10/<10	<10	<10	14
Benzo(e)pyrene	<10	<10/<10	<10	<10/<10	<10	<10	<10
Benzo(a)pyrene	<10	<10/<10	<10	<10/<10	<10	<10	15
