Tissue concentrations of polyaromatic hydrocarbons in Mytilus edulis (ng/g dry weight).								




               PAHs		95MAPR1	95MAPR2	95MAPR3	95MAPR4	95MAPR1	95MAPR2	95MAPR3
		C	C	C	C	I	I	I

Naphthalene		<30	<30	<30	<30	<30/<30	<30	<30
2-Me naphthalene		<30	<30	<30	<30	<30/<30	<30	<30
1-Me naphthalene		<30	<30	<30	<30	<30/<30	<30	<30
Biphenyl		<20	<20	<20	<20	<20/<20	<20	<20
"2,6-Dime naphthalen"		<20	<20	<20	<20	<20/<20	<20	<20
Acenaphthylene		<10	<10	<10	<10	<10/<10	<10	<10
Acenaphthene		<10	<10	<10	<10	<10/<10	<10	<10
"2,3,5-Trime naphthal"		<20	<20	<20	<20	<20/<20	<20	<20
Fluorene		<10	<10	<10	<10	<10/<20	<10	<10
Phenanthrene		17	12	14	<10	10/<10	<10	13
Anthracene		<10	<10	<10	<10	<10/<10	<10	<10
1-Me phenanthrene		<10	<10	<10	<10	<10/<10	<10	<10
Fluoranthene		156	144	149	135	113/108	107	129
Pyrene		140	130	133	112	95/90	91	107
Benzo(a)anthracene		37	40	39	30	29/26	20	25
Chrysene		65	49	55	48	42/38	33	40
Benzo(b+k)fluoranthen		95	86	90	70	44/57	43	48
Benzo(e)pyrene		57	52	55	47	39/40	32	35
Benzo(a)pyrene		22	18	20	15	14/19	10	11
Perylene		<10	<10	<10	<10	<10/<10	<10	<10
Indeno(123cd)pyren		22	20	20	15	15/18	11	13
Dibenzo(ah)anthrace		<10	<10	<10	<10	<10/<10	<10	<10
Benzo(ghi)perylene		22	21	19	16	13/18	12	12

TOTAL		633	572	594	488	414/414	359	433


		SURROGATE RECOVERY (%)						

Naph-d8		49	38	40	38	44/53	46	47
Anap-d10		72	66	69	54	65/75	65	65
Phena-d10		106	105	107	105	104/106	100	107
Fluora-d10		119	121	116	123	116/117	116	125
Chry-d12		110	109	110	112	110/106	107	113
BaP-d12		110	110	97	122	118/112	110	114
BghiP-d12		106	106	84	105	97/103	104	110

C=control  N=native  I=indigenous  P=preset								
		 	 					












               PAHs		95MAPR4	95MAIH1	95MAIH2	95MAIH3	95MAIH4	95MASN1	95MASN2
		I	C	C	C	C	P	P

Naphthalene		<30	<30	<30	<30	<30	<30	<30
2-Me naphthalene		<30	<30	<30	<30	<30	<30	<30
1-Me naphthalene		<30	<30	<30	<30	<30	<30	<30
Biphenyl		<20	<20	<20	<20	<20	<20	<20
"2,6-Dime naphthalen"		<20	<20	<20	<20	<20	<20	<20
Acenaphthylene		<10	<10	<10	<10	<10	<10	<10
Acenaphthene		<10	<10	<10	<10	<10	<10	<10
"2,3,5-Trime naphthal"		<20	<20	<20	<20	<20	<20	<20
Fluorene		<10	<10	<10	<10	<10	<10	<10
Phenanthrene		11	11	<10	<10	<10	12	<10
Anthracene		<10	<10	<10	<10	<10	<10	<10
1-Me phenanthrene		<10	<10	<10	<10	<10	<10	<10
Fluoranthene		124	247	280	319	328	13	11
Pyrene		104	264	308	336	358	10	<10
Benzo(a)anthracene		22	105	110	106	134	<10	<10
Chrysene		36	171	172	174	213	<10	<10
Benzo(b+k)fluoranthen		49	164	205	170	1246	<10	<10
Benzo(e)pyrene		37	129	166	162	190	<10	<10
Benzo(a)pyrene		10	50	53	40	70	<10	<10
