                1995 Tissue concentration of Polychlorinated Biphenyls in Mytilus edulis (ng/g dry weight).								





Congener	MAPR1C	MAPR2C	MAPR3C	MAPR4C	MAPR1N	MAPR2N	MAPR3N	MAPR4N
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	2.1	<2	<2	2.4	2.2/2.0	2	2	2.3
18 ; 15	<2	<2	<2	<2	<2/<2	<2	<2	<2
28 ;	<2	<2	2.4	<2	<2/<2	<2	<2	<2
29 ;	<2	<2	<2	<2	<2/<2	<2	<2	<2
44 ;	2.9	2.6	3.2	2.2	2.1/<2	2	2.1	2.6
50 ;	<2	<2	<2	<2	<2/<2	<2	<2	<2
52 ;	4.2	4.8	5.2	4.1	3.0/3.1	3	4.2	3.5
66 ; 95	15	16	11	14	12/12.	12	15	13
77 ;	5	5.6	7.8	4.7	3.4/3.5	3.3	5.2	4.2
87 ;	4.7	5.4	4.9	4.5	3.5/3.6	3.4	4.5	3.8
101 ; 90	15	18	18	15	12/12.	12	17	13
105 ;	5.5	5.8	7.3	5	4.4/4.3	4.1	5.1	4.7
118 ;	15	19	21	15	13/13	12	16	13
126 ;	4	4.7	3.1	4.6	3.9/3.6	3.5	4.6	3.9
128 ;	2.7	3.3	<2	3	2.4/2.3	2.2	3	2.1
138 ;	26	32	31	25	22/21	21	29	23
153 ; 132	30	37	36	30	26/26	25	34	27
169 ;	<2	<2	<2	<2	<2/<2	<2	<2	<2
170 ; 190	<2	<2	<2	<2	<2/<2	<2	<2	<2
180 ;	4.8	5	6	4.9	3.6/3.5	3.5	4.7	3.9
187 ;	8.9	11	11	9.3	8.0/7.8	7.7	11	8.4
195 ; 208	<2	<2	<2	<2	<2/<2	<2	<2	<2
206 ;	<2	<2	<2	<2	<2/<2	<2	<2	<2
209 ;	<2	<2	<2	<2	<2/<2	<2	<2	<2

TOTAL	146	170	168	144	122/118	117	157	128


Surrogate Recovery	    (%)							

103;	80	101	99	83	81/80	76	96	82

198;	74	100	90	75	77/72	76	94	80







	                






















Congener	MAIH1C	MAIH2C	MAIH3C	MAIH4C	MASN1P	MASN2P	MASN3P	MASN4P
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	<2	<2	2.2	2.5	<2	<2	<2	<2
18 ; 15	<2	<2	2.1	2	<2	<2	<2	<2
28 ;	<2	<2	<2	<2	<2	<2	<2	<2
29 ;	<2	<2	<2	<2	<2	<2	<2	<2
44 ;	9.3	9.7	10	11	<2	<2	<2	<2
50 ;	6.7	7.2	6.6	7.2	<2	<2	<2	<2
52 ;	22	21	20	23	<2	<2	<2	<2
66 ; 95	39	43	40	43	2.3	3.2	2.9	3.5
77 ;	16	15	15	17	<2	<2	<2	<2
87 ;	18	17	16	17	<2	<2	<2	<2
101 ; 90	53	51	49	52	3.3	4.3	3.6	5.2
105 ;	21	20	20	20	<2	<2	<2	2.3
118 ;	44	47	42	44	4.7	6	5.6	7.1
126 ;	5.3	5.7	6.5	6.2	<2	<2	<2	<2
128 ;	7.5	7.3	7.4	6.8	<2	<2	<2	<2
138 ;	52	53	46	49	7.9	9.8	9.6	11
153 ; 132	54	55	47	50	10	13	12	14
169 ;	<2	<2	<2	<2	<2	<2	<2	<2
170 ; 190	<2	<2	<2	<2	<2	<2	<2	<2
180 ;	5.2	5.4	5.1	5.4	<2	<2	<2	<2
187 ;	10	12	11	11	<2	2.2	<2	2.7
195 ; 208	<2	<2	<2	<2	<2	<2	<2	<2
206 ;	<2	<2	<2	<2	<2	<2	<2	<2
209 ;	<2	<2	<2	<2	<2	<2	<2	<2

TOTAL	363	369	346	367	28	39	34	46

Surrogate Recovery	    (%)							

103;	87	92	75	69	83	99	104	99

198;	82	89	99	72	85	100	108	104








	                
















Congener	NHLH1N	NHLH2N	NHLH3N	NHLH4N	NHLH1C	NHLH2C	NHLH3C	NHLH4C
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
18 ; 15	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
28 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
29 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
44 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
50 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
52 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
66 ; 95	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
77 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
87 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
101 ; 90	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
105 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
118 ;	<2	<2	3.1	<2/<2	2.1/2.4	2.5	2.9	3
126 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
128 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
138 ;	2.4	2.3	5.4	2.2/3.1	3.3/3.6	4	4.4	5
153 ; 132	3.2	2.5	6.5	2.1/3.9	4.8/4.9	5.6	6.4	7
169 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
170 ; 190	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
180 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
187 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
195 ; 208	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
206 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2
209 ;	<2	<2	<2	<2/<2	<2/<2	<2	<2	<2

TOTAL	5.6	4.8	15	4.3/7.0	10/11.	12	14	15


Surrogate Recovery	    (%)							

103;	82	42	93	71/81	86/92	82	92	94

198;	75	55	87	72/76	92/95	81	93	90







	                							
















Congener	NHHS1P	NHHS2P	NHHS3P	NHHS4P	MEBC1P	MEBC2P	MEBC3P	MEBC4P
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	<2	<2	<2	<2	<2	<2	<2	<2/<2
18 ; 15	<2	<2	<2	<2	<2	<2	<2	<2/<2
28 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
29 ;	<2	<2	<2	<2	2.5	<2	2.5	<2/<2
44 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
50 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
52 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
66 ; 95	<2	<2	2.1	<2	<2	<2	<2	<2/<2
77 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
87 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
101 ; 90	<2	2.9	2.7	<2	<2	<2	<2	<2/<2
105 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
118 ;	<2	3.7	3.7	2.8	<2	<2	<2	<2/<2
126 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
128 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
138 ;	3.6	6.2	6.6	4.9	2.1	<2	<2	<2/<2
153 ; 132	4.7	8	8.4	6.2	4.4	<2	3.9	<2/<2
169 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
170 ; 190	<2	<2	<2	<2	<2	<2	<2	<2/<2
180 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
187 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
195 ; 208	<2	<2	<2	<2	<2	<2	<2	<2/<2
206 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
209 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2

TOTAL	8.3	21	24	14	9	ND	6.4	ND/ND


Surrogate Recovery	    (%)							

103;	95	70	96	97	92	81	86	117/91

198;	110	80	106	114	101	92	96	129/101







	                							
















Congener	MEKN1N	MEKN2N	MEKN3N	MEKN4N	MEKN1C	MEKN2C	MEKN3C	MEKN4C
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	<2	<2	<2	<2	<2	<2	<2	<2
18 ; 15	<2	<2	<2	<2	<2	<2	<2	<2
28 ;	<2	<2	<2	<2	<2	<2	<2	<2
29 ;	<2	<2	<2	<2	<2	<2	<2	<2
44 ;	<2	<2	<2	<2	<2	<2	<2	<2
50 ;	<2	<2	<2	<2	<2	<2	<2	<2
52 ;	<2	<2	<2	<2	<2	<2	<2	<2
66 ; 95	<2	<2	<2	<2	<2	<2	<2	<2
77 ;	<2	<2	<2	<2	<2	<2	<2	<2
87 ;	<2	<2	<2	<2	<2	<2	<2	<2
101 ; 90	3.6	3.1	2.9	<2	3.4	3	7.8	3.5
105 ;	<2	<2	<2	<2	<2	<2	<2	<2
118 ;	2.2	2.6	<2	<2	2.6	<2	3.2	2.3
126 ;	<2	<2	<2	<2	<2	<2	2.8	<2
128 ;	<2	<2	<2	<2	<2	<2	<2	<2
138 ;	7.5	7.3	6.4	4.5	6.6	5.9	16	6.5
153 ; 132	11	10	10	8	9.2	8.3	20	9.3
169 ;	<2	<2	<2	<2	<2	<2	<2	<2
170 ; 190	<2	<2	<2	<2	<2	<2	3.9	<2
180 ;	2.1	2.5	<2	<2	<2	<2	9.2	2
187 ;	4	3.7	3.4	2.4	3	2.7	7.6	3.1
195 ; 208	<2	<2	<2	<2	<2	<2	<2	<2
206 ;	<2	<2	<2	<2	<2	<2	<2	<2
209 ;	<2	<2	<2	<2	<2	<2	<2	<2

TOTAL	31	29	23	15	25	20	71	27


Surrogate Recovery	    (%)							

103;	100	102	103	96	103	110	101	101

198;	96	107	94	92	93	95	89	88







	                
















Congener	MECC1N	MECC2N	MECC3N	MECC4N	MECC1C	MECC2C	MECC3C	MECC4C
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	<2	<2	<2	<2	<2	<2	<2	<2
18 ; 15	<2	<2	<2	<2	<2	<2	<2	<2
28 ;	<2	<2	<2	<2	<2	<2	<2	<2
29 ;	<2	<2	<2	<2	<2	<2	<2	<2
44 ;	<2	<2	<2	<2	<2	<2	<2	<2
50 ;	<2	<2	<2	<2	<2	<2	<2	<2
52 ;	<2	<2	<2	<2	<2	<2	<2	<2
66 ; 95	3	2.3	<2	2	<2	<2	<2	<2
77 ;	<2	<2	<2	<2	<2	<2	<2	<2
87 ;	<2	<2	<2	<2	<2	<2	<2	<2
101 ; 90	4.8	4.5	2.7	2.7	<2	<2	2.6	<2
105 ;	3.3	2.8	2.5	2.2	<2	<2	<2	2.1
118 ;	6.8	6.2	4.2	4.1	3.3	3.1	4.1	3.2
126 ;	<2	<2	<2	<2	<2	<2	<2	<2
128 ;	<2	<2	<2	<2	<2	<2	<2	<2
138 ;	11	10	7.4	7	5.6	5	6.6	5.5
153 ; 132	13	13	8.7	8.5	7.1	6.7	8	6.2
169 ;	<2	<2	<2	<2	<2	<2	<2	<2
170 ; 190	<2	<2	<2	<2	<2	<2	<2	<2
180 ;	<2	<2	<2	<2	<2	<2	<2	<2
187 ;	3.6	3.1	<2	<2	<2	<2	<2	<2
195 ; 208	<2	<2	<2	<2	<2	<2	<2	<2
206 ;	<2	<2	<2	<2	<2	<2	<2	<2
209 ;	<2	<2	<2	<2	<2	<2	<2	<2

TOTAL	46	42	26	27	16	15	21	17


Surrogate Recovery	    (%)							

103;	90	82	86	88	63	79	83	69

198;	80	75	84	79	71	85	86	76







	                
















Congener	MEDM1C	MEDM2C	MEDM3C	MEDM4C	MEDM1N	MEDM1N	MEDM2N	MEDM2N
     No.	OCT	OCT	OCT	OCT	OCT	OCT	OCT	OCT

8 ; 5	<2	<2	<2	<2	<2	<2	<2	<2/<2
18 ; 15	<2	<2	<2	<2	<2	<2	<2	<2/<2
28 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
29 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
44 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
50 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
52 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
66 ; 95	<2	<2	<2	<2	<2	<2	<2	<2/<2
77 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
87 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
101 ; 90	<2	<2	<2	<2	<2	<2	<2	<2/<2
105 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
118 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
126 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
128 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
138 ;	2.6	2.8	2.1	2.6	<2	<2	<2	<2/<2
153 ; 132	3.9	4.1	3	3.7	<2	2.7	<2	<2/<2
169 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
170 ; 190	<2	<2	<2	<2	<2	<2	<2	<2/<2
180 ;	<2	<2	<2	<2	<2	<2	<2	<2/<2
