2000 Tissue Concentrations of Chlorinated Pesticides in Mytilus edulis (ng/g dry wt).																																																																																															
																																																																																															

 	MADX-1N	MADX-2N	MADX-3N	MADX-4N	MAOB-1N	MAOB-2N	MAOB-3N	MAOB-4N	MAWP-1N	MAWP-2N	MAWP-3N	MAWP-4N	MAIP-1N	MAIP-3N	MAIP-3N	MAIP-4N	MAIP-4N	MASN-1N	MASN-2N	MASN-3N	MASN-4N	NHHR 1N	NHHR 2N	NHHR 3N	NHHR 4N	NHRH 1N	NHRH 2N	NHRH 3N	NHRH 4N	NHNM 1N	NHNM 2N	NHNM 3N	NHNM 4N	NHSS 1N	NHSS 2N	NHSS 3N	NHSS 4N	NHDP 1N	NHDP 2N	NHDP 3N	NHDP 4N	MECC 1N	MECC 2N	MECC 3N	MECC 4N	MEUR-1N	MEUR-2N	MEUR-3N	MEUR-4N	MEPH-1N	MEPH 2N	MEPH 3N	MEPH 4N	MECK 1N	MECK 2N	MECK3N	MECKN4N	MEMR 1N	MEMR 2N	MEMR 3N	MEMR 4N	MEKN1N	MEKN 3N	MEPR-1N	MEPR 2N	MEPR 2N	MEPR-3N	MEPR-4N	NBNR 1N	NBNR 2N	NBNR 3N	NBNR 4N	NBHI 1N	NBHI 2N	NBHI 3N	NBHI 4N	NBLB 1N	NBLB 2N	NBLB 3N	NBLB 4N	NBLB 4N	NSAR 1N	NSAR 2N	NSAR 3N	NSAR 4N	NSDI 1N	NSDI 2N	NSDI 2N	NSDI 3N	NSDI 4N	NSDI 4N	NSSC 1N	NSSC 2N	NSSC 3N	NSSC 4N
Pesticide																																																																<1.2																	duplicate							duplicate			duplicate				
																																																																																															
HCB (Hexachlorobenzene)	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	**IN**	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	**IN**	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
g-HCH (Lindane)	<1.2	<1.2	<1.2	<1.2	<1.2	1.2	<1.2	<1.2	1.2	<1.2	<1.2	<1.2	<1.2	2.1	<1.2	1.6	<1.2	<1.2	3.6	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1	<1.2	<1.2	<1.2	<1.2	<1.2	2.4	<1.2	<1.2	2.1	2.2	<1.2	<1.2	<1.2	<1.2	1.9	3.7	2.1	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
Heptachlor	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	**IN**	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	**IN**	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
Aldrin	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.2	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
Heptachlor Epoxide	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.5	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	**IN**	<1.2	<1.2	<1.2	<1.2	<1.2	1.7	<1.2	1.5	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.6	1.6	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
"o,p'-DDE"	<1.2	<1.2	<1.2	<1.2	<1.2	<1	<1	<1	<1	<1	<1	<1	<1	<1.2	<1.2	<1.2	<1.2	<1	<1	<1	<1	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	**IN**	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	**IN**	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	2	<1.2	<1.2	<1	<1	<1	<1	<1	<1	<1	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
a-Endosulfan	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	2.4	<1.2	1.9	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.6	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	2.8	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	1.5	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2	<1.2
cis-Chlordane	3.3	3	2.3	2.3	3.2	3	2.8	2.6	3	2.4	2.5	2.6	2.3	1.6	3.1	1.1	1.5	3.9	5.2	4.5	3.1	1.1	<1.0	<1.0	1.8	<1.0	<1.0	**IN**	<1.0	<1.0	2.1	1.8	3.3	2.9	3.1	2.7	2.8	1.4	2.9	2.9	1.5	<1.0	<1.0	**IN**	**IN**	1.8	1.8	2.1	2.1	3.2	3.5	3.5	3.3	2.4	2.6	**IN**	**IN**	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	2.3	3.8	4.7	2.7	3.7	2	1.3	2	1.3	1.9	1.9	1.1	1.3	1.9	2.1	2.3	2.2	2.2	2.2	2.4	2.5	2.5	2.2	2.2	2.2	<1	<1	<1	<1	<1	<1	<1
trans-Nonachlor	3.5	4.2	3.5	2.9	3.6	3	2.2	2.7	1.6	1.5	2	2	1.6	2.7	<1	3	2.5	3.3	4.4	3.7	3.5	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	**IN**	<1.0	<1.0	<1.0	<1.0	1.8	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	**IN**	**IN**	1.1	<1	1.1	1.4	2.5	<1	<1	<1	<1	<1	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	10.9	<1	<1	1.9	1.5	1.2	1.2	1.1	1.3	<1	<1	<1	1.3	2.8	2.2	2.3	3	2.1	<1	<1	<1	<1	<1	<1	<1	2.1	1.9	1.8	<1	<1	<1	<1
